question,index,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,avg
A1,A1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8
A2,A2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
A3,A3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.533333333
A4,A4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.233333333
A5,A5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4
A6,A6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
A7,A7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.566666667
A8,A8,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.033333333
A9,A9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.966666667
A10,A10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6
A11,A11,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.933333333
A12,A12,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5
B1,B1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
B2,B2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.333333333
B3,B3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8
B4,B4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
B5,B5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.233333333
B6,B6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.633333333
B7,B7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.833333333
B8,B8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3
B9,B9,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3
B10,B10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7
B11,B11,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.566666667
B12,B12,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
C1,C1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.466666667
C2,C2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.666666667
C3,C3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7
C4,C4,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.166666667
C5,C5,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.766666667
C6,C6,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8
C7,C7,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2
C8,C8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.233333333
C9,C9,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
C10,C10,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7
C11,C11,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.633333333
C12,C12,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.233333333
D1,D1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.466666667
D2,D2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.566666667
D3,D3,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
D4,D4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.533333333
D5,D5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3
D6,D6,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5
D7,D7,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.733333333
D8,D8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.466666667
D9,D9,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.733333333
D10,D10,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.433333333
D11,D11,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.466666667
D12,D12,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.366666667
E1,E1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.6
E2,E2,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3
