question,level,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,avg,id61,id99
A1,A,6,4,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1.5,2,1
A2,A,6,5,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1.5,1,1
A3,A,6,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1.5,1,1
A4,A,6,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1.5,2,1
A5,A,6,6,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1.5,1,1
A6,A,6,3,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1.5,2,1
A7,A,6,6,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1.5,1,1
A8,A,6,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1.5,2,1
A9,A,6,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1.5,2,1
A10,A,6,3,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1.5,1,1
A11,A,6,4,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1.5,2,1
A12,A,6,5,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1.5,1,1
set1_1,A,8,8,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1.5,2,1
set1_2,A,8,4,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1.5,1,1
set1_3,A,8,5,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1.423076923,2,1
set1_4,A,8,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1.576923077,1,1
B1,B,6,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1.5,1,1
B2,B,6,6,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,2,1.5,2,1
B3,B,6,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,1,1.5,1,1
B4,B,6,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1.5,2,1
B5,B,6,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1.5,2,1
B6,B,6,3,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1.5,1,1
B7,B,6,5,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1.5,2,1
B8,B,6,6,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1.5,1,1
B9,B,6,4,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1.538461538,1,1
B10,B,6,3,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1.461538462,2,1
B11,B,6,4,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,1.5,1,1
B12,B,6,5,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1.5,2,1
C1,C,8,8,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1.5,1,1
C2,C,8,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1.5,2,1
set2_10,C,8,4,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1.384615385,2,1
C3,C,8,3,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1.615384615,1,1
C4,C,8,8,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1.538461538,1,1
set1_6,C,8,5,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1.461538462,2,1
C5,C,8,7,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1.5,2,1
C6,C,8,4,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1.5,1,1
set2_4,C,8,4,2,1,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1.5,1,1
C7,C,8,5,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1.5,2,1
C8,C,8,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1.5,2,1
C9,C,8,7,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,1.5,1,1
C10,C,8,6,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1.5,2,1
set2_3,C,8,7,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1.5,1,1
C11,C,8,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1.5,2,1
