question,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,avg,id99
A1,6,4,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1.528571429,1
A2,6,5,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1.471428571,1
A3,6,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1.514285714,1
A4,6,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,1.485714286,1
A5,6,6,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1.514285714,1
A6,6,3,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1.485714286,1
A7,6,6,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1.414285714,1
A8,6,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1.585714286,1
A9,6,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1.542857143,1
A10,6,3,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1.457142857,1
