question,options,answer,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,avg
A1,6,4,3,3,1,1,4,1,4,3,3,3,4,4,3,2,2,2,4,1,1,4,3,4,4,4,3,4,3,2,1,3,1,2.8
A2,6,5,1,2,3,4,2,2,3,1,1,2,1,3,4,4,1,3,3,3,4,1,4,3,1,3,4,2,1,1,4,2,1,2.433333333
A3,6,1,4,4,4,2,1,4,1,4,4,1,3,2,2,3,4,4,1,4,2,2,2,1,2,2,1,1,4,4,2,1,1,2.533333333
A4,6,2,2,1,2,3,3,3,2,2,2,4,2,1,1,1,3,1,2,2,3,3,1,2,3,1,2,3,2,3,3,4,1,2.233333333
A5,6,6,4,1,2,1,2,2,1,2,4,1,1,1,4,1,3,2,1,2,4,2,4,3,4,3,3,3,3,2,4,2,1,2.4
A6,6,3,2,3,4,4,3,4,4,3,1,3,4,3,2,2,2,3,4,1,3,3,2,4,3,4,4,4,4,1,2,4,1,3
A7,6,6,3,4,1,3,4,1,3,4,2,2,3,4,3,4,4,4,2,3,2,1,1,2,1,1,1,2,2,4,3,3,1,2.566666667
A8,6,2,1,2,3,2,1,3,2,1,3,4,2,2,1,3,1,1,3,4,1,4,3,1,2,2,2,1,1,3,1,1,1,2.033333333
A9,6,1,3,1,1,1,3,1,1,1,2,3,4,1,4,1,2,1,4,1,1,4,2,4,1,1,1,4,2,1,2,1,1,1.966666667
A10,6,3,4,2,2,4,1,2,2,4,4,1,1,2,2,4,1,3,3,3,4,2,1,3,4,3,3,1,1,4,3,4,1,2.6
A11,6,4,2,4,3,3,4,4,3,2,1,4,3,4,1,3,4,4,2,4,2,1,3,2,2,2,4,3,4,3,4,3,1,2.933333333
A12,6,5,1,3,4,2,2,3,4,3,3,2,2,3,3,2,3,2,1,2,3,3,4,1,3,4,2,2,3,2,1,2,1,2.5
B1,6,2,3,4,3,1,3,1,2,3,2,2,4,4,1,1,2,3,2,1,3,3,2,3,2,3,4,1,2,1,4,3,1,2.433333333
B2,6,6,2,2,1,3,1,4,4,4,4,3,3,1,3,2,1,2,1,3,4,1,3,2,1,1,3,2,1,2,2,4,1,2.333333333
B3,6,1,1,1,4,4,4,2,3,2,1,4,1,3,4,3,3,4,3,4,1,2,4,4,4,2,2,3,3,4,3,1,1,2.8
B4,6,2,4,3,2,2,2,3,1,1,3,1,2,2,2,4,4,1,4,2,2,4,1,1,3,4,1,4,4,3,1,2,1,2.433333333
B5,6,1,2,1,1,3,2,1,3,1,4,1,3,4,3,3,2,3,1,2,3,2,2,4,4,4,1,1,2,1,2,1,1,2.233333333
B6,6,3,4,2,4,2,3,2,4,2,2,3,1,1,2,4,1,1,4,4,1,4,3,3,3,1,4,3,3,2,4,2,1,2.633333333
B7,6,5,1,3,3,4,4,4,2,3,3,4,4,3,4,1,3,2,2,1,4,3,4,2,1,3,3,4,1,3,3,3,1,2.833333333
B8,6,6,3,4,2,1,1,3,1,4,1,2,2,2,1,2,4,4,3,3,2,1,1,1,2,2,2,2,4,4,1,4,1,2.3
B9,6,4,1,1,4,2,4,2,4,1,1,2,3,2,1,1,2,1,2,2,2,4,2,2,1,4,3,2,4,4,2,3,1,2.3
B10,6,3,4,3,1,4,3,1,3,2,4,1,4,4,4,2,4,4,1,3,3,3,4,4,2,2,2,1,3,3,1,1,1,2.7
B11,6,4,3,2,2,3,2,4,2,3,3,3,2,1,3,4,3,3,4,1,1,2,1,3,4,1,4,3,2,2,4,2,1,2.566666667
B12,6,5,2,4,3,1,1,3,1,4,2,4,1,3,2,3,1,2,3,4,4,1,3,1,3,3,1,4,1,1,3,4,1,2.433333333
C1,8,8,3,3,4,3,2,2,2,3,2,1,2,1,1,2,4,2,2,1,4,4,3,2,1,3,2,3,3,1,4,4,1,2.466666667
